cpih_yoy,food_yoy,housing_fuels_yoy,transport_yoy,core_cpih_yoy,date,bank_rate,ppi_input_yoy,ppi_output_yoy,ppi_import_yoy,ppi_export_yoy,war_dummy
3.8,1.3,3.8,10.0,3.1,2021-10-01,0.1,15.989628349178897,7.563764291996478,2.5231286795626584,5.842506350550392,0
4.6,2.5,3.9,12.5,3.6,2021-11-01,0.1,17.282889079965624,8.722466960352438,4.314720812182737,7.508532423208192,0
4.8,4.2,4.0,12.1,3.8,2021-12-01,0.1,15.508474576271203,8.859649122807012,4.537815126050426,7.901444350042475,0
4.9,4.4,4.2,11.6,4.0,2022-01-01,0.25,16.137123745819416,9.52797202797202,4.549283909014323,8.496176720475779,0
5.5,5.1,4.3,11.7,4.6,2022-02-01,0.25,16.970198675496697,10.82024432809774,7.155025553662675,10.741687979539648,1
6.2,5.9,4.6,13.6,5.1,2022-03-01,0.5,20.60260586319218,13.020833333333325,9.754028837998296,13.135593220338993,1
7.8,6.7,8.6,13.7,5.4,2022-04-01,0.75,22.11460855528653,15.11226252158895,11.335012594458437,14.814814814814813,1
7.9,8.7,8.7,14.0,5.2,2022-05-01,0.75,23.741007194244613,16.85296646603611,13.697478991596657,17.47899159663866,1
8.2,9.8,8.9,15.2,5.2,2022-06-01,1.0,24.447949526813883,17.902813299232754,15.397489539748953,18.25000000000001,1
8.8,12.7,9.1,15.1,5.5,2022-07-01,1.25,22.480620155038757,17.989864864864845,14.167357083678557,17.836498761354246,1
8.6,13.1,9.2,12.4,5.6,2022-08-01,1.25,21.34570765661252,17.409587888982326,16.874480465502906,17.409240924092416,1
8.8,14.6,9.3,10.9,5.8,2022-09-01,1.75,20.702826585179523,17.052980132450337,21.217105263157897,17.808219178082197,1
9.6,16.4,11.7,9.3,5.8,2022-10-01,2.25,19.37406855439643,16.516762060506963,21.16488925348645,17.28000000000001,1
9.3,16.5,11.7,7.6,5.7,2022-11-01,2.25,16.862170087976548,15.072933549432733,17.842660178426616,15.476190476190466,1
9.2,16.9,11.7,6.9,5.8,2022-12-01,3.0,15.407190022010276,13.29572925060436,15.353697749196126,12.992125984251967,1
8.8,16.8,11.8,3.4,5.3,2023-01-01,3.5,14.32685385169188,13.32801276935356,18.372280419016928,13.938919342208301,1
9.2,18.2,11.8,3.1,5.7,2023-02-01,3.5,12.172682236376486,11.968503937007856,16.93163751987281,12.471131639722866,1
8.9,19.2,11.6,1.0,5.7,2023-03-01,4.0,7.562457798784616,9.216589861751157,12.982998454404937,9.213483146067425,1
7.8,19.1,7.3,1.6,6.2,2023-04-01,4.25,5.155320555188347,6.601650412603144,9.351432880844657,6.964809384164217,1
